Timestamp,Cálculo 1,Cálculo 2,Cálculo 3,Cálculo 4,Física 1,Física 2,Física 3,Física 4,Progamação 1,Programação 2,Geometria analítica,Álgebra linear,Matéria adicional 1,Nota 1,Matéria adicional 2,Nota 2,Matéria adicional 3,Nota 3,Matéria adicional 4,Nota 4,Matéria adicional 5,Nota 5
11/20/2016 13:36:01,6,8,7,Não Fiz,5,5,7,Não Fiz,8,7,6,5,Química Geral - QG100,7,Programação 3 - MC302,8,Circuitos Elétricos - EA513,7,,,,
11/20/2016 13:58:59,8,7,5,Não Fiz,7,Não Fiz,5,Não Fiz,8,Não Fiz,10,8,,,,,,,,,,
11/20/2016 14:02:50,9,8,5,9,5,8,Não Fiz,Não Fiz,7,7,8,9,,,,,,,,,,
11/20/2016 14:04:52,7,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,Não Fiz,Não Fiz,6,Não Fiz,7,Não Fiz,QG 100,8,F 129,7,HZ291,9,,,,
11/20/2016 14:40:11,5,5,3,9,7,3,Não Fiz,Não Fiz,7,10,6,8,EA513,2,MS211,3,MC358,8,HZ,8,EA869,6
11/20/2016 14:47:38,6,Não Fiz,Não Fiz,Não Fiz,9,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,6,Não Fiz,HZ291,7,F129,7,QG100,5,,,,
11/20/2016 14:48:08,9,Não Fiz,Não Fiz,Não Fiz,8,Não Fiz,Não Fiz,Não Fiz,Não Fiz,Não Fiz,7,Não Fiz,,,,,,,,,,
11/20/2016 16:02:17,7,7,7,7,Não Fiz,Não Fiz,Não Fiz,Não Fiz,8,6,6,6,,,,,,,,,,
11/20/2016 16:33:41,8,8,,,8,7,,,8,8,9,10,Circuitos Lógicos (EA772),7,,,,,,,,
11/20/2016 16:42:54,5,6,6,Não Fiz,7,Não Fiz,6,7,7,Não Fiz,5,5,,,,,,,,,,
11/20/2016 17:02:49,9,6,7,Não Fiz,9,Não Fiz,8,Não Fiz,8,Não Fiz,6,Não Fiz,Estatística para Experimentalistas ME414,6,Química Geral QG100,8,Estática EM306,5,,,,
11/20/2016 17:27:45,3,4,Não Fiz,Não Fiz,6,4,Não Fiz,Não Fiz,8,Não Fiz,6,Não Fiz,,,,,,,,,,
11/20/2016 18:07:53,6,5,5,,5,,5,7,,,5,,,,,,,,,,,
11/20/2016 18:12:19,8,,,,5,,,,,,,,,,,,,,,,,
11/20/2016 19:25:24,7,6,5,,6,,5,,8,,5,,F129 Fisica Experimental I,8,F329 Fisica Experimental III,7,ME414 Estatistica para Experimentalistas,5,MS211 Calculo Numerico,8,,
11/21/2016 6:26:02,9,6,6,Não Fiz,7,6,7,Não Fiz,9,9,6,5,,,,,,,,,,
11/21/2016 6:52:39,7,7,6,Não Fiz,9,Não Fiz,9,Não Fiz,10,9,9,9,MC404 Organização Básica de Computadores e Linguagem de Montagem,10,QG100 Química,6,EA513 Circuitos Elétricos I,6,EM306 Estática,7,EM360 Termodinâmica I,7
11/21/2016 7:09:20,8,7,5,5,6,7,6,Não Fiz,6,Não Fiz,9,10,MA502 - Análise I,6,MA604 - Topologia dos Espaços Métricos,6,MS580 - Introdução à Lógica Fuzzy,9,,,,
11/21/2016 7:14:54,10,10,5,Não Fiz,8,Não Fiz,7,8,Não Fiz,Não Fiz,8,Não Fiz,,,,,,,,,,
11/21/2016 8:23:50,Não Fiz,9,9,Não Fiz,8,Não Fiz,Não Fiz,Não Fiz,8,7,7,7,Cálculo Numérico - MS211,8,Laboratório de Física I - F 129,9,Laboratório de Física III - F 329,9,Introdução aos Modelos Probabilísticos  - ME323,5,,
11/21/2016 8:39:56,10,8,9,8,8,7,8,Não Fiz,7,Não Fiz,8,8,,,,,,,,,,
11/21/2016 9:56:07,7,,,,6,,,,8,,5,,,,,,,,,,,
11/21/2016 10:17:32,8,7,5,Não Fiz,8,Não Fiz,4,Não Fiz,9,Não Fiz,6,7,QG100,7,EM360,5,F129,8,MS211,6,,
